MC-ID NO.,Street Name,Location,Village Name,Area,County
SE 80TH,Bathurst Court,Marion - Unit 224 (Villas Of Morningview),Calumet Grove,4,Marion
,Baton Place,Sumter - Unit 238 (Inglewood Villas),Bonnybrook,5,Sumter
,Batterbee Drive,VOSO - Unit 214 (Blakely Villas),Moultrie Creek,15,Sumter
,Baxter Court,Sumter - Unit 128,Amelia,6,Sumter
,Bay Meadows Circle,Lake - Unit 10,Orange Blossom Gardens,LL,Lake
,Bay Meadows Lane,Lake - Unit 10,Orange Blossom Gardens,LL,Lake
,Bayberry Court,Sumter - Unit 714 (Double Palm Villas),Duval,7,Sumter
,Bayhill Court,Lake - Unit 10,Orange Blossom Gardens,LL,Lake
,Bayhill Drive,Lake - Unit 9,Country Club,LL,Lake
,Baylor Place,Sumter - Unit 91,Sunset Pointe,5,Sumter
,Bayou Place,Sumter - Unit 659 (Hickory Grove Villas),Sunset Pointe,5,Sumter
,Baypoint Way,Sumter - Unit 168,Pennecamp,8,Sumter
,Bayport Place,Sumter - Unit 807 (Bayport Villas),Buttonwood,8,Sumter
,Baysinger Path,VOWL - Unit 56,Lake Denham,14,Lake
,Baysinger Path,VOWL - Unit 60,Lake Denham,14,Lake
,Beachwood Street,Sumter - Unit 171,Bridgeport @ Miona Shores,6,Sumter
,Beacon Hill Court,Sumter - Unit 122,Largo,6,Sumter
,Beadle Place,Sumter - Unit 973 (Atwood Bungalows),Collier at Atwood Bungalows,9,Sumter
,Beard Road,VOF - Unit 624 (Sweetgum Villas),Fenney,12,Sumter
,Beasley Terrace,Sumter - Unit 105,Bridgeport @ Lake Sumter,6,Sumter
,Beatrice Way,Sumter - Unit 658 (Bailey Ridge Villas),Poinciana,5,Sumter
,Beauclair Place,Sumter - Unit 956 (Beauclair Villas),Osceola Hills @ Soaring Eagle Preserve,10,Sumter
SE 169TH,Beaufort Street,Marion - Unit 54,Briar Meadow,4,Marion
,Beaulieu Loop,Sumter - Unit 129,Amelia,6,Sumter
,Beaumont Terrace,Sumter - Unit 704 (Grovewood Villas),Hadley,7,Sumter
,Becerra Street,Sumter - Unit 29,Santiago,2,Sumter
,Becerril Court,Lake - Unit 34,Pine Hills,11,Lake
,Becker Avenue,Lake - Unit 104 (Reagan Villas),Pine Ridge,11,Lake
,Beckett Run,Sumter - Unit 143,Hemingway,7,Sumter
,Becky Court,VOSO - Unit 215,Moultrie Creek,15,Sumter
,Bedford Way,Sumter - Unit 41-A,Belle Aire,3,Sumter
,Bedminster Way,VOWL - Unit 84 (The Enclave at Dabney),Dabney,14,Lake
,Bednarik Place,VOSO - Unit 46,Bradford,13,Sumter
,Beebe Court,Sumter - Unit 199,Charlotte,9,Sumter
,Beecher Path,Sumter - Unit 157,Buttonwood,8,Sumter
,Beechwood Avenue,Lake - Unit 3,Silver Lake,LC,Lake
,Beechwood Avenue,Lake - Unit 3.1B,Silver Lake,LC,Lake
,Began Place,VOSO - Unit 34 (Linden Verandas),Linden,12,Sumter
,Behring Terrace,Sumter - Unit 217,Hillsborough,10,Sumter
,Belcherry Loop,Sumter - Unit 179,Charlotte,9,Sumter
,Belcherry Loop,Sumter - Unit 180,Charlotte,9,Sumter
,Beldon Court,Sumter - Unit 88,Lynnhaven,5,Sumter
SE 174TH,Belhaven Loop,Marion - Unit 59,Chatham,4,Marion
SE 85TH,Belknap Avenue,Marion - Unit 54,Briar Meadow,4,Marion
,Bell Terrace,Lake - Unit 29,Pine Hills,11,Lake
,Bella Cruz Drive,Spanish Plaines,N/A,SC,Sumter
,Bellamy Lane,Sumter - Unit 646 (Bellamy Villas),Ashland,5,Sumter
SE 80TH,Bellavista Circle,Marion - Unit 57,Calumet Grove,4,Marion
,Belle Glade Avenue,Sumter - Unit 634 (Cottages At Summerchase),Belle Aire,10,Sumter
,Belle Grove Drive,Sumter - Unit 634 (Cottages At Summerchase),Belle Aire,3,Sumter
SE 86TH,Belle Meade Circle,Villages Of Marion Throughway,N/A,4,Marion
,Bellerose Trail,Sumter - Unit 88,Lynnhaven,5,Sumter
SE 177TH,Belmont Place,Marion - Unit 214 (Fairlawn Villas),Springdale,4,Marion
,Belton Lane,Sumter - Unit 92,Sunset Pointe,5,Sumter
,Belvedere Boulevard,Villages Of Sumter Throughway,N/A,5,Sumter
,Ben Bartlett Place,VOSO - Unit 215,Moultrie Creek,15,Sumter
,Benavides Drive,Sumter - Unit 31,Alhambra,2,Sumter
,Benhogan Place,Sumter - Unit 822 (Montbrook Villas),Tamarind Grove,8,Sumter
,Benitez Street,Sumter - Unit 688 (Villa De La Vista North),De La Vista,1,Sumter
,Benjamin Place,VOSO - Unit 121 (Mabel Villas),DeLuna,13,Sumter
,Bennett Place,Sumter - Unit 105,Bridgeport @ Lake Sumter,6,Sumter
,Bennettsville Lane,Sumter - Unit 141,Bonita,7,Sumter
,Bent Tree Lane,Lake - Unit 9,Country Club,LL,Lake
SE 169TH,Bentley Street,Marion - Unit 51,Woodbury,4,Marion
,Bentwood Lane,Sumter - Unit 826 (Southwood Villas),Tamarind Grove,8,Sumter
,Benzinger Court,Sumter - Unit 71,Winifred,5,Sumter
,Berg Court,Sumter - Unit 708 (Seneca Villas),Hemingway,7,Sumter
,Berkeley Lane,Sumter - Unit 38,Glenbrook,3,Sumter
,Berkshire Place,Sumter - Unit 68,Summerhill,3,Sumter
,Berman Court,VOSO - Unit 45,Chitty Chatty,13,Sumter
,Bermuda Place,Sumter - Unit 93,Sunset Pointe,5,Sumter
